smiles,similar_to_original,dock_1,dock_2,dock_3,dock_4,dock_5
CC=1C=CC=C(C1)OC=2C=CC(=NC2)C(=O)NC=3C=CC=C(C3)C4CCC(=O)N4,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_10_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_10_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_10_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_10_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_10_conformer_5_docked.sdf
O=C(NC=1C=CC(=CC1)OC(F)F)C=2C=CC(=CC2)NC=3N=CC=CN3,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_11_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_11_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_11_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_11_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_11_conformer_5_docked.sdf
COC=1C=CC=2N=C(NC(=O)N3CCCC(C3)NC=4C=CC=CC4)SC2N1,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_12_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_12_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_12_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_12_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_12_conformer_5_docked.sdf
O=C(NC=1C=CC=C(C1)OC(F)F)C=2C=CC(=CC2)NC=3N=CC=CN3,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_13_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_13_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_13_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_13_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_13_conformer_5_docked.sdf
CC=1C=C(F)C=2N=C(O)C=C(C(=O)N3CCC(C3)NC=4C=CC=CC4)C2C1,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_14_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_14_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_14_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_14_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_14_conformer_5_docked.sdf
COC=1C=CC=C(C1)CCC(=O)NC=2C=CC(=CC2)NC=3N=CC=CN3,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_15_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_15_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_15_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_15_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_15_conformer_5_docked.sdf
O=C(NC=1C=CC=C(C1)OCCF)C=2C=CC(=CC2)NC=3N=CC=CN3,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_16_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_16_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_16_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_16_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_16_conformer_5_docked.sdf
O=C(NC=1C=CC=C(C1)OC(F)F)C=2C=CC=C(C2)NC=3N=CC=CN3,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_17_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_17_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_17_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_17_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_17_conformer_5_docked.sdf
O=C(NC1=NN=C2C=CC=CN12)C=3C=CC=C(C3)NC=4C=CC=CC4,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_18_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_18_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_18_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_18_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_18_conformer_5_docked.sdf
O=C(NC=1C=CC=C(C1)C2CCC(=O)N2)C=3C=CC(=CN3)OC=4C=CC=CC4,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_19_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_19_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_19_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_19_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_19_conformer_5_docked.sdf
