smiles,conf_1,conf_2,conf_3,conf_4,conf_5,pdbqt_conf_1,pdbqt_conf_2,pdbqt_conf_3,pdbqt_conf_4,pdbqt_conf_5
CC=1C=CC=C(C1)OC=2C=CC(=NC2)C(=O)NC=3C=CC=C(C3)C4CCC(=O)N4,pipeline_output/docking/autodock-vina/conformations/ligand_10_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_10_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_10_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_10_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_10_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_10_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_10_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_10_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_10_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_10_conformer_5.pdbqt
O=C(NC=1C=CC(=CC1)OC(F)F)C=2C=CC(=CC2)NC=3N=CC=CN3,pipeline_output/docking/autodock-vina/conformations/ligand_11_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_11_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_11_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_11_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_11_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_11_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_11_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_11_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_11_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_11_conformer_5.pdbqt
COC=1C=CC=2N=C(NC(=O)N3CCCC(C3)NC=4C=CC=CC4)SC2N1,pipeline_output/docking/autodock-vina/conformations/ligand_12_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_12_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_12_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_12_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_12_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_12_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_12_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_12_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_12_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_12_conformer_5.pdbqt
O=C(NC=1C=CC=C(C1)OC(F)F)C=2C=CC(=CC2)NC=3N=CC=CN3,pipeline_output/docking/autodock-vina/conformations/ligand_13_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_13_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_13_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_13_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_13_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_13_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_13_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_13_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_13_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_13_conformer_5.pdbqt
CC=1C=C(F)C=2N=C(O)C=C(C(=O)N3CCC(C3)NC=4C=CC=CC4)C2C1,pipeline_output/docking/autodock-vina/conformations/ligand_14_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_14_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_14_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_14_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_14_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_14_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_14_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_14_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_14_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_14_conformer_5.pdbqt
COC=1C=CC=C(C1)CCC(=O)NC=2C=CC(=CC2)NC=3N=CC=CN3,pipeline_output/docking/autodock-vina/conformations/ligand_15_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_15_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_15_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_15_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_15_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_15_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_15_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_15_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_15_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_15_conformer_5.pdbqt
O=C(NC=1C=CC=C(C1)OCCF)C=2C=CC(=CC2)NC=3N=CC=CN3,pipeline_output/docking/autodock-vina/conformations/ligand_16_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_16_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_16_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_16_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_16_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_16_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_16_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_16_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_16_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_16_conformer_5.pdbqt
O=C(NC=1C=CC=C(C1)OC(F)F)C=2C=CC=C(C2)NC=3N=CC=CN3,pipeline_output/docking/autodock-vina/conformations/ligand_17_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_17_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_17_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_17_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_17_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_17_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_17_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_17_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_17_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_17_conformer_5.pdbqt
O=C(NC1=NN=C2C=CC=CN12)C=3C=CC=C(C3)NC=4C=CC=CC4,pipeline_output/docking/autodock-vina/conformations/ligand_18_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_18_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_18_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_18_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_18_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_18_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_18_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_18_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_18_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_18_conformer_5.pdbqt
O=C(NC=1C=CC=C(C1)C2CCC(=O)N2)C=3C=CC(=CN3)OC=4C=CC=CC4,pipeline_output/docking/autodock-vina/conformations/ligand_19_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_19_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_19_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_19_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_19_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_19_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_19_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_19_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_19_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_19_conformer_5.pdbqt
