2025-10-28 12:48:12,898 - INFO - Analyzing 6 molecules
2025-10-28 12:48:12,902 - DEBUG - Loaded backend agg version v2.2.
2025-10-28 12:48:12,909 - DEBUG - findfont: score(FontEntry(fname='/tmp_mnt/filer1/unix/pbuslaev/projects/personal/docking_pipeline/venvs/admet/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-10-28 12:48:12,910 - DEBUG - findfont: score(FontEntry(fname='/tmp_mnt/filer1/unix/pbuslaev/projects/personal/docking_pipeline/venvs/admet/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-10-28 12:48:12,910 - DEBUG - findfont: score(FontEntry(fname='/tmp_mnt/filer1/unix/pbuslaev/projects/personal/docking_pipeline/venvs/admet/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-10-28 12:48:12,910 - DEBUG - findfont: score(FontEntry(fname='/tmp_mnt/filer1/unix/pbuslaev/projects/personal/docking_pipeline/venvs/admet/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-10-28 12:48:12,910 - DEBUG - findfont: score(FontEntry(fname='/tmp_mnt/filer1/unix/pbuslaev/projects/personal/docking_pipeline/venvs/admet/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-10-28 12:48:12,910 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/julietaula-montserrat/Montserrat-LightItalic.otf', name='Montserrat', style='italic', variant='normal', weight=300, stretch='normal', size='scalable')) = 11.145
2025-10-28 12:48:12,910 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/paktype-naskh-basic/PakTypeNaskhBasic.ttf', name='PakType Naskh Basic', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-10-28 12:48:12,910 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/julietaula-montserrat/MontserratAlternates-Medium.otf', name='Montserrat Alternates', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2025-10-28 12:48:12,910 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/julietaula-montserrat/Montserrat-ThinItalic.otf', name='Montserrat', style='italic', variant='normal', weight=250, stretch='normal', size='scalable')) = 11.1925
2025-10-28 12:48:12,910 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/paratype-pt-sans/PTS76F.ttf', name='PT Sans', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-10-28 12:48:12,911 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/julietaula-montserrat/Montserrat-SemiBold.otf', name='Montserrat', style='normal', variant='normal', weight=600, stretch='normal', size='scalable')) = 10.24
2025-10-28 12:48:12,911 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/gnu-free/FreeMonoBold.ttf', name='FreeMono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-10-28 12:48:12,911 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/google-noto-cjk/NotoSansCJK-Black.ttc', name='Noto Sans CJK JP', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
2025-10-28 12:48:12,911 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/gnu-free/FreeMonoBoldOblique.ttf', name='FreeMono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-10-28 12:48:12,911 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/julietaula-montserrat/MontserratAlternates-LightItalic.otf', name='Montserrat Alternates', style='italic', variant='normal', weight=300, stretch='normal', size='scalable')) = 11.145
2025-10-28 12:48:12,911 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/julietaula-montserrat/MontserratAlternates-ExtraBoldItalic.otf', name='Montserrat Alternates', style='italic', variant='normal', weight=800, stretch='normal', size='scalable')) = 11.43
2025-10-28 12:48:12,911 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/julietaula-montserrat/MontserratAlternates-BoldItalic.otf', name='Montserrat Alternates', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-10-28 12:48:12,911 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/julietaula-montserrat/MontserratAlternates-Regular.otf', name='Montserrat Alternates', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-10-28 12:48:12,911 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/julietaula-montserrat/MontserratAlternates-ExtraLightItalic.otf', name='Montserrat Alternates', style='italic', variant='normal', weight=275, stretch='normal', size='scalable')) = 11.16875
2025-10-28 12:48:12,911 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/lohit-gujarati/Lohit-Gujarati.ttf', name='Lohit Gujarati', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-10-28 12:48:12,912 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/google-noto-cjk/NotoSerifCJK-Black.ttc', name='Noto Serif CJK JP', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
2025-10-28 12:48:12,912 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/thai-scalable/Waree-BoldOblique.ttf', name='Waree', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-10-28 12:48:12,912 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/paratype-pt-sans/PTS56F.ttf', name='PT Sans', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-10-28 12:48:12,912 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/dejavu/DejaVuSerifCondensed-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='condensed', size='scalable')) = 10.535
